COMPOUND_ID,SMILES,product_inchikey,source_library,reaction_type,route_class,acid_fragment_id,acid_fragment_smiles,acid_role,acid_library_type,acid_avg_attribution,acid_activity_rate,handle_origin_acid,acid_state,amine_fragment_id,amine_fragment_smiles,amine_role,amine_library_type,amine_avg_attribution,amine_activity_rate,handle_origin_amine,amine_state,novel_vs_pathogen_train,novel_vs_union_train,MW,LogP,TPSA,HBA,HBD,AromRings,RotBonds,QED,SA_score,design_score,rank_within_library,product_linkage_type
CMPD_001,O=[C:1](NCCN(O)Cc1ccccc1)[NH:5]Cc1nccs1,LGWDPXLXMVPZTM-UHFFFAOYSA-N,SA,amide,B,1187,CC(C)(C)OC(=O)NCCN(O)Cc1ccccc1,substituent,SA,0.3506,71.43,latent_ester,latent,17229,NCc1nccs1,substituent,SA,0.3091,100.0,native_amine,neutral,True,True,306.391,1.8337,77.49000000000001,5,3,2,7,0.6821205877435498,2.454549799499004,2.649627,1,amide
CMPD_002,COc1ccc2ncc(F)c(C[C@H](O)[C@H]3OC[C@H]([N:5](C)[C:1](C)=O)CO3)c2c1,YDFOCUZHMVTVIG-NXXSPTCGSA-N,SA,amide,B,12894,CC(=O)OCc1ccoc1,substituent,SA,0.1,87.5,latent_ester,latent,19582,CN[C@H]1CO[C@H]([C@@H](O)Cc2c(F)cnc3ccc(OC)cc23)OC1,substituent,SA,0.2318,100.0,native_amine,neutral,True,True,378.40000000000015,1.5057,81.12,6,1,2,5,0.849457214819152,3.570147801988149,2.61725,2,amide
CMPD_003,C[C:1](=O)[NH:5]CCCNc1cc(O)c2ccccc2n1,QHVUTJRODVIZHC-UHFFFAOYSA-N,SA,amide,B,12894,CC(=O)OCc1ccoc1,substituent,SA,0.1,87.5,latent_ester,latent,18439,NCCCNc1cc(O)c2ccccc2n1,substituent,SA,0.1873,100.0,native_amine,neutral,True,True,259.309,1.8785,74.25,4,3,2,5,0.7166740331339663,2.1770591999347726,2.577522,3,amide
CMPD_004,C[N:5](c1ccon1)[C:1](=O)NCCN(O)Cc1ccccc1,KNNGFQZBQLNVFW-UHFFFAOYSA-N,SA,amide,B,1187,CC(C)(C)OC(=O)NCCN(O)Cc1ccccc1,substituent,SA,0.3506,71.43,latent_ester,latent,17974,CNc1ccon1,substituent,SA,0.2835,100.0,native_amine,neutral,True,True,290.323,1.7117999999999998,81.84,5,2,2,6,0.7914969018601644,2.807605158893709,2.490507,4,amide
CMPD_005,COc1ccc2nccc(CC[C@H]3OC[C@H]([N:5](C)[C:1](C)=O)CO3)c2c1,WLRBKLIQWUDIPM-RHDGDCLCSA-N,SA,amide,B,12894,CC(=O)OCc1ccoc1,substituent,SA,0.1,87.5,latent_ester,latent,14294,CN[C@H]1CO[C@H](CCc2ccnc3ccc(OC)cc23)OC1,substituent,SA,0.2403,100.0,native_amine,neutral,True,True,344.4110000000001,2.3958000000000004,60.89,5,0,2,5,0.8334393106156192,2.78755459478986,2.474994,5,amide
CMPD_006,C[C:1](=O)[NH:5]S(=O)(=O)Nc1ccc(-n2ccc(C(F)(F)F)n2)cc1,NSSFVYMFNXAXMS-UHFFFAOYSA-N,SA,amide,B,12894,CC(=O)OCc1ccoc1,substituent,SA,0.1,87.5,latent_ester,latent,10346,NS(=O)(=O)Nc1ccc(-n2ccc(C(F)(F)F)n2)cc1,substituent,SA,0.1619,100.0,native_amine,neutral,True,True,348.30600000000004,1.6838999999999995,93.09,5,2,2,4,0.8791980132356905,2.525408755604106,2.471515,6,amide
CMPD_007,C[C:1](=O)[N:5](C)CCCNc1nc2ccccc2[nH]1,SDRQHZZARQXUNV-UHFFFAOYSA-N,SA,amide,B,12894,CC(=O)OCc1ccoc1,substituent,SA,0.1,87.5,latent_ester,latent,17916,CNCCCNc1nc2ccccc2[nH]1,substituent,SA,0.3678,100.0,native_amine,neutral,True,True,246.31400000000005,1.8432,61.02,3,2,2,5,0.791341448390497,2.242772892055264,2.350985,7,amide
CMPD_008,N#CC1[C@H]2C[N:5]([C:1](=O)NCCN(O)Cc3ccccc3)C[C@@H]12,GWDKOVJXUCHNII-GOOCMWNKSA-N,SA,amide,B,1187,CC(C)(C)OC(=O)NCCN(O)Cc1ccccc1,substituent,SA,0.3506,71.43,latent_ester,latent,18890,N#CC1[C@H]2CNC[C@@H]12,substituent,SA,0.2717,100.0,native_amine,neutral,True,True,300.362,1.2887799999999994,79.60000000000001,4,2,1,5,0.8030939629048996,3.773100927596903,2.333962,8,amide
CMPD_009,C[N:5](CCCNc1nc2ccccc2[nH]1)[C:1](=O)NCCN(O)Cc1ccccc1,YKDCHJAMTKKWJA-UHFFFAOYSA-N,SA,amide,B,1187,CC(C)(C)OC(=O)NCCN(O)Cc1ccccc1,substituent,SA,0.3506,71.43,latent_ester,latent,17916,CNCCCNc1nc2ccccc2[nH]1,substituent,SA,0.3678,100.0,native_amine,neutral,True,True,396.4950000000002,2.8977000000000013,96.52,5,4,3,10,0.3121357658652034,2.5810896467959505,2.255454,9,amide
CMPD_010,O=C(CO)N1CCN(c2c(F)cccc2F)CC[N:5]1[C:1](=O)NCCN(O)Cc1ccccc1,FQSWHUYRSDJAOF-UHFFFAOYSA-N,SA,amide,B,1187,CC(C)(C)OC(=O)NCCN(O)Cc1ccccc1,substituent,SA,0.3506,71.43,latent_ester,latent,1926,O=C(CO)N1CCN(c2c(F)cccc2F)CCN1,substituent,SA,0.2664,100.0,native_amine,neutral,True,True,463.4850000000002,1.4237,99.59,6,3,2,7,0.5375660807010052,2.947572062767847,2.225271,10,amide
CMPD_011,O=S(=O)(Nc1ccccc1)[NH:5][C:1](=O)NCCN(O)Cc1ccccc1,LYNGKDJIBMKBJY-UHFFFAOYSA-N,SA,amide,B,1187,CC(C)(C)OC(=O)NCCN(O)Cc1ccccc1,substituent,SA,0.3506,71.43,latent_ester,latent,10345,NS(=O)(=O)Nc1ccccc1,substituent,SA,0.174,100.0,native_amine,neutral,True,True,364.4270000000001,1.5338999999999996,110.77,5,4,2,8,0.5310957760601617,2.3792900227421896,2.201084,11,amide
CMPD_012,O=[C:1](NCCN(O)Cc1ccccc1)[NH:5]c1c[nH]c2ccccc12,JBEMXYIZSRAKIP-UHFFFAOYSA-N,SA,amide,B,1187,CC(C)(C)OC(=O)NCCN(O)Cc1ccccc1,substituent,SA,0.3506,71.43,latent_ester,latent,13012,Nc1c[nH]c2ccccc12,substituent,SA,0.2332,100.0,native_amine,neutral,True,True,324.3840000000001,3.1808000000000005,80.39000000000001,3,4,3,6,0.5257811979730456,2.309166430363645,2.148693,12,amide
CMPD_013,COc1ccc2ncc(F)c(C[C@H](O)[C@H]3OC[C@H]([N:5](C)[C:1](C)=O)CO3)c2n1,JYPSATXSMPBBRN-GYOIFBIXSA-N,SA,amide,B,12894,CC(=O)OCc1ccoc1,substituent,SA,0.1,87.5,latent_ester,latent,14487,CN[C@H]1CO[C@H]([C@@H](O)Cc2c(F)cnc3ccc(OC)nc23)OC1,substituent,SA,0.1387,100.0,native_amine,neutral,True,True,379.38800000000015,0.9006999999999998,94.01,7,1,2,5,0.8248648154300066,3.745163186603534,2.145353,13,amide
