COMPOUND_ID,activity,TARGET,SOURCE,SMILES,group
CHEMBL172840,active,1,ChEMBL,CC1=NN=C(SCC2=C(C(=O)O)N3C(=O)C(NC(=O)CN4C=NN=N4)C3SC2)S1,training
CHEMBL23609,active,1,ChEMBL,CCOC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC,training
CHEMBL1200971,active,1,ChEMBL,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)C3=CC=CC=C3)[C@H]2SC1,training
CHEMBL15536,active,1,ChEMBL,CC1CN(C2=C(F)C(N)=C3C(=O)C(C(=O)O)=CN(C4CC4)C3=C2Cl)CC(C)N1,training
CHEMBL404,active,1,ChEMBL,C[C@]1(CN2C=CN=N2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,training
CHEMBL126,inactive,0,ChEMBL,CC(=O)NC[C@H]1CN(C2=CC=C(N3CCOCC3)C(F)=C2)C(=O)O1,training
CHEMBL165156,active,1,ChEMBL,CN1N=NN=C1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N/N)C3=CSC(N)=N3)[C@H]2SC1,training
CHEMBL1164318,active,1,ChEMBL,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,training
CHEMBL1950493,active,1,ChEMBL,NC[C@@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3N)O[C@@H]2CO)[C@H](N)[C@@H](O)[C@@H]1O,training
CHEMBL1010,active,1,ChEMBL,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(COC(C)=O)CS[C@H]12)C1=CSC(N)=N1,training
CHEMBL771,active,1,ChEMBL,N[C@@H]1CONC1=O,training
CHEMBL1200530,active,1,ChEMBL,CO[C@@]1(NC(=O)CC2=CC=CS2)C(=O)N2C(C(=O)[O-])=C(COC(N)=O)CS[C@@H]21,training
