COMPOUND_ID,canonical_smiles,standard_type,standard_relation,standard_value,standard_units,pchembl_value,target_chembl_id,organism,pref_name,confidence_score,molregno,alogp,hba,hbd,molecular_weight,psa,num_ro5_violations,parent_molregno,salt_status,standardized_smiles,mw_from_standardized,inchi_key,original_standard_units,MIC_ug_ml,molarity_original,molarity_from_ug_ml,logMIC_original,logMIC_from_ug_ml,logMIC,activity_μM,activity,active_count,inactive_count,total_count,active_fraction,majority_class,TARGET
CHEMBL229059,COc1ccccc1-c1cc(-c2cccc3ccccc23)nc(N)n1,MIC,=,36.0,ug/mL,,CHEMBL354,Escherichia coli,Escherichia coli,1,385249,4.55,4.0,1.0,327.39,61.03,0.0,385249,no salt,COC1=CC=CC=C1C1=CC(C2=CC=CC3=CC=CC=C23)=NC(N)=N1,327.1371621640001,CKLMIAATVDSYLW-UHFFFAOYSA-N,ug.mL-1,36.0,0.0001099605974525795,0.0001099605974525795,3.9587629091554737,3.9587629091554737,3.9587629091554737,109.96059745257949,active,1,0,1,1.0,active,1
CHEMBL229058,Nc1nc(-c2cccc(Cl)c2)cc(-c2cccc3ccccc23)n1,MIC,=,41.0,ug/mL,,CHEMBL354,Escherichia coli,Escherichia coli,1,385247,5.2,3.0,1.0,331.81,51.8,1.0,385247,no salt,NC1=NC(C2=CC=CC(Cl)=C2)=CC(C2=CC=CC3=CC=CC=C23)=N1,331.087625128,ZLWVTEVLDWNHDD-UHFFFAOYSA-N,ug.mL-1,41.0,0.00012356469063620748,0.00012356469063620748,3.9081056138154273,3.9081056138154273,3.9081056138154273,123.56469063620743,active,1,0,1,1.0,active,1
CHEMBL36506,CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C,MIC,=,2.0,ug/mL,,CHEMBL354,Escherichia coli,Escherichia coli,1,48697,3.63,11.0,5.0,612.63,200.01,2.0,48697,no salt,CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](OC2=CC=C3C(O)=C(NC(=O)C4=CC=C(O)C(CC=C(C)C)=C4)C(=O)OC3=C2C)OC1(C)C,612.2319099719999,YJQPYGGHQPGBLI-KGSXXDOSSA-N,ug.mL-1,2.0,3.2646132249481743e-06,3.2646132249481743e-06,5.486168264379942,5.486168264379942,5.486168264379942,3.2646132249481745,active,81,35,116,0.6982758620689655,active,1
CHEMBL183459,OCCCCCn1cnc2nc(NCc3ccc(Cl)c(Cl)c3)nc(O)c21,MIC,>,80.0,ug/mL,,CHEMBL354,Escherichia coli,Escherichia coli,1,303771,3.61,7.0,3.0,396.28,96.09,0.0,303771,no salt,OCCCCCN1C=NC2=NC(NCC3=CC=C(Cl)C(Cl)=C3)=NC(O)=C21,395.091580208,ACKDITWJZRHUBF-UHFFFAOYSA-N,ug.mL-1,80.0,0.00020187746038154841,0.00020187746038154841,3.694912167328569,3.694912167328569,3.694912167328569,201.87746038154853,inactive,0,1,1,0.0,inactive,0
CHEMBL2235554,CCCNC(=O)CSc1nnc(-c2cccnc2)o1,MIC,=,125.0,ug/mL,,CHEMBL354,Escherichia coli,Escherichia coli,1,1471064,1.75,6.0,1.0,278.34,80.91,0.0,1471064,no salt,CCCNC(=O)CSC1=NN=C(C2=CC=CN=C2)O1,278.08374668799996,IZMKIDHFOSLAQE-UHFFFAOYSA-N,ug.mL-1,125.0,0.0004490910397355752,0.0004490910397355752,3.3476656098943467,3.3476656098943467,3.3476656098943467,449.09103973557535,inactive,0,1,1,0.0,inactive,0
CHEMBL2260102,Cc1cccnc1/N=C/c1cccc2ccccc12,MIC,=,200.0,ug/mL,,CHEMBL354,Escherichia coli,Escherichia coli,1,1477919,4.29,2.0,0.0,246.31,25.25,0.0,1477919,no salt,CC1=CC=CN=C1/N=C/C1=CC=CC2=CC=CC=C12,246.115698448,PZSYCMPVRVNJOI-XDHOZWIPSA-N,ug.mL-1,200.0,0.0008119848970809143,0.0008119848970809143,3.090452048561065,3.090452048561065,3.090452048561065,811.9848970809139,inactive,0,1,1,0.0,inactive,0
CHEMBL2299343,S=c1[nH]nc2c3c(c(-c4ccccc4)nc4ccccc43)c(-c3ccccc3)c(-c3ccccc3)n12,MIC,=,50.0,ug/mL,,CHEMBL354,Escherichia coli,Escherichia coli,1,1502951,8.09,4.0,1.0,480.6,45.98,1.0,1502951,no salt,S=C1NN=C2C3=C(C(C4=CC=CC=C4)=NC4=CC=CC=C43)C(C3=CC=CC=C3)=C(C3=CC=CC=C3)N12,480.14086764,MNEHSAZMHVOZNM-UHFFFAOYSA-N,ug.mL-1,50.0,0.00010403662089055348,0.00010403662089055348,3.9828137621318627,3.9828137621318627,3.9828137621318627,104.03662089055342,active,1,0,1,1.0,active,1
CHEMBL112830,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1C/C=C(/C=O)CC=O,MIC,=,25.0,ug/mL,,CHEMBL354,Escherichia coli,Escherichia coli,1,182620,4.89,2.0,0.0,302.46,34.14,0.0,182620,no salt,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1C/C=C(/C=O)CC=O,302.2245802,TZCSIFOYBLPUIF-OQONWLFBSA-N,ug.mL-1,25.0,8.265555775970377e-05,8.265555775970377e-05,4.082727939149756,4.082727939149756,4.082727939149756,82.6555577597038,active,2,0,2,1.0,active,1
CHEMBL3585488,CNc1nc(C)c(C2=NN(c3ccccc3)C(c3ccc(F)cc3)C2)s1,MIC,=,5.46,10'-2 umol/ml,,CHEMBL354,Escherichia coli,Escherichia coli,1,1948697,4.99,5.0,1.0,366.46,40.52,0.0,1948697,no salt,CNC1=NC(C)=C(C2=NN(C3=CC=CC=C3)C(C3=CC=C(F)C=C3)C2)S1,366.13144582800004,XJDCRPZQRKBMFZ-UHFFFAOYSA-N,10'-2 umol/ml,20.008716,5.4600000000000006e-05,5.4600000000000006e-05,4.262807357295262,4.262807357295262,4.262807357295262,54.60000000000006,active,1,0,1,1.0,active,1
CHEMBL3628672,O=C(Nc1cccc(C(F)(F)F)c1)c1cc([N+](=O)[O-])ccc1O,MIC,>,500000.0,nM,,CHEMBL354,Escherichia coli,Escherichia coli,1,1968628,3.57,4.0,2.0,326.23,92.47,0.0,1968628,no salt,O=C(NC1=CC=CC(C(F)(F)F)=C1)C1=CC([N+](=O)[O-])=CC=C1O,326.051441428,COLFVFLBQVWMIF-UHFFFAOYSA-N,nM,163.115,0.0005,0.0005,3.3010299956639813,3.3010299956639813,3.3010299956639813,499.9999999999999,inactive,0,2,2,0.0,inactive,0
CHEMBL3746437,Cc1ccc(/C=C/C(=O)c2ccc(-n3cccc3)cc2)cc1,MIC,=,12.5,ug/mL,,CHEMBL354,Escherichia coli,Escherichia coli,1,2057000,4.68,2.0,0.0,287.36,22.0,0.0,2057000,no salt,CC1=CC=C(/C=C/C(=O)C2=CC=C(N3C=CC=C3)C=C2)C=C1,287.131014164,GOUKIWYMXQWEEX-MDWZMJQESA-N,ug.mL-1,12.5,4.349944320712695e-05,4.349944320712695e-05,4.361516301979154,4.361516301979154,4.361516301979154,43.49944320712697,active,1,0,1,1.0,active,1
CHEMBL3746739,O=C(/C=C/c1ccccc1O)c1ccc(-n2cccc2)cc1,MIC,=,50.0,ug/mL,,CHEMBL354,Escherichia coli,Escherichia coli,1,2057108,4.08,3.0,1.0,289.33,42.23,0.0,2057108,no salt,O=C(/C=C/C1=CC=CC=C1O)C1=CC=C(N2C=CC=C2)C=C1,289.11027872000005,AYSDGOSHAASNMJ-FMIVXFBMSA-N,ug.mL-1,50.0,0.00017281305084159958,0.00017281305084159958,3.7624234626993402,3.7624234626993402,3.7624234626993402,172.81305084159962,active,1,0,1,1.0,active,1
