COMPOUND_ID,SMILES,inchi_key,TARGET,group,logMIC_with_relation,logMIC_calculated,is_censored,SOURCE
CHEMBL36506,CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](OC2=CC=C3C(O)=C(NC(=O)C4=CC=C(O)C(CC=C(C)C)=C4)C(=O)OC3=C2C)OC1(C)C,YJQPYGGHQPGBLI-KGSXXDOSSA-N,1,training,>7.185,7.185,TRUE,ChEMBL
CHEMBL44354,CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3=CC=CC=C3)CS[C@H]12)C1=CSC(N)=N1)C(=O)O,ORFOPKXBNMVMKC-DWVKKRMSSA-N,1,training,4.836,4.836,FALSE,ChEMBL
CHEMBL174,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)C3=CC=CC=C3)C(=O)N2[C@H]1C(=O)O,AVKUERGKIZMTKX-NJBDSQKTSA-N,1,training,4.544,4.544,FALSE,ChEMBL
CHEMBL177,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,LKCWBDHBTVXHDL-RMDFUYIESA-N,1,training,4.564,4.564,FALSE,ChEMBL
CHEMBL1200971,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)C3=CC=CC=C3)[C@H]2SC1,FUBBGQLTSCSAON-PBFPGSCMSA-N,1,training,5.511,5.511,FALSE,ChEMBL
CHEMBL404,C[C@]1(CN2C=CN=N2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,LPQZKKCYTLCDGQ-WEDXCCLWSA-N,1,training,3.671,3.671,FALSE,ChEMBL
CHEMBL1013,N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CC[C@H]12)C1=CC=CC=C1,JAPHQRWPEGVNBT-UTUOFQBUSA-N,1,training,6,6,FALSE,ChEMBL
CHEMBL1517,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)C4=C(O)C=CC=C4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12,IWVCMVBTMGNXQD-PXOLEDIWSA-N,1,training,5.664,5.664,FALSE,ChEMBL
CHEMBL5314373,C/C=C/C1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)C3=CC=C(O)C=C3)[C@H]2SC1,WDLWHQDACQUCJR-ZAMMOSSLSA-N,1,training,6.476,6.476,FALSE,ChEMBL
CHEMBL1727,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)C3=CC=CC=C3)[C@H]2SC1,ZAIPMKNFIOOWCQ-UEKVPHQBSA-N,1,training,4.24,4.24,FALSE,ChEMBL
CHEMBL4755088,C=C[C@]1(C)C[C@@H](OC(=O)CS[C@@H]2C[C@H]3CC[C@@H](C2)N3C)[C@@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,STZYTFJPGGDRJD-QPCPVAGTSA-N,1,training,6.62,6.62,FALSE,ChEMBL
CHEMBL158,C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)C2=CSC(N)=N2)C(=O)N1S(=O)(=O)O,WZPBZJONDBGPKJ-VEHQQRBSSA-N,0,training,<3.833,3.833,TRUE,ChEMBL
CHEMBL583,CC1=C(F)C(N2CCNC(C)C2)=CC2=C1C(=O)C(C(=O)O)=CN2C1CC1,AIJTTZAVMXIJGM-UHFFFAOYSA-N,1,training,6.556,6.556,FALSE,ChEMBL
CHEMBL615,CC1(C)S[C@@H]2[C@H](NC(=O)COC3=CC=CC=C3)C(=O)N2[C@H]1C(=O)O,BPLBGHOLXOTWMN-MBNYWOFBSA-N,1,training,>7.147,7.147,TRUE,ChEMBL
CHEMBL1384,NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](O)[C@@H](O)[C@@H]1O,SBUJHOSQTJFQJX-NOAMYHISSA-N,1,training,6.287,6.287,FALSE,ChEMBL
CHEMBL777,O=C(O)[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21,HZZVJAQRINQKSD-PBFISZAISA-N,1,training,3.794,3.794,FALSE,ChEMBL
CHEMBL1230961,CN[C@@H]1[C@@H](O[C@H]2O[C@H](CO)[C@@H](N)[C@H](O)[C@H]2O)O[C@H]2C[C@@H](N)[C@@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](N)C[C@@H]3N)O[C@@H]2[C@@H]1O,XZNUGFQTQHRASN-XQENGBIVSA-N,1,training,4.255,4.255,FALSE,ChEMBL
CHEMBL1169,NC1=CC=C(C(=O)O)C(O)=C1,WUBBRNOQWQTFEX-UHFFFAOYSA-N,0,training,<3.185,3.185,TRUE,ChEMBL
CHEMBL1650559,CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3OC(CNCCO)=CC[C@H]3N)[C@@H](N)C[C@H]2NC(=O)[C@@H](O)CCN)OC[C@]1(C)O,IYDYFVUFSPQPPV-PEXOCOHZSA-N,1,training,5.772,5.772,FALSE,ChEMBL
CHEMBL420937,C[C@@H]1COC2=C3C(=CC(F)=C2N2CCN(C)CC2)C(=O)C(C(=O)O)=CN31,GSDSWSVVBLHKDQ-SNVBAGLBSA-N,1,training,4.569,4.569,FALSE,ChEMBL
CHEMBL1537,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCNC3=O)C3=CC=CC=C3)C(=O)N2[C@H]1C(=O)O,JTWOMNBEOCYFNV-NFFDBFGFSA-N,1,training,4.46,4.46,FALSE,ChEMBL
CHEMBL1604,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)C3=CCC=CC3)[C@H]2SC1,RDLPVSKMFDYCOR-UEKVPHQBSA-N,1,training,4.764,4.764,FALSE,ChEMBL
CHEMBL520642,NC1=NC(/C(=N/O)C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(/C=C4\CCN([C@@H]5CCNC5)C4=O)CS[C@H]23)=NS1,VOAZJEPQLGBXGO-SDAWRPRTSA-N,1,training,5.427,5.427,FALSE,ChEMBL
CHEMBL1146,CN1N=NN=C1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](O)C3=CC=CC=C3)[C@H]2SC1,OLVCFLKTBJRLHI-AXAPSJFSSA-N,1,training,8.666,8.666,FALSE,ChEMBL
CHEMBL376140,CN(C)C1=CC(NC(=O)CNC(C)(C)C)=C(O)C2=C1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,FPZLLRFZJZRHSY-HJYUBDRYSA-N,1,training,9.672,9.672,FALSE,ChEMBL
CHEMBL6273,CN1CCN(C2=C(F)C=C3C(=O)C(C(=O)O)=CN(CCF)C3=C2F)CC1,XBJBPGROQZJDOJ-UHFFFAOYSA-N,1,training,6.266,6.266,FALSE,ChEMBL
CHEMBL186,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3(C)CCCC3)CS[C@H]12)C1=CSC(N)=N1,HVFLCNVBZFFHBT-ZKDACBOMSA-N,1,training,5.381,5.381,FALSE,ChEMBL
