rank,fragment_id,fragment_smiles,pathogen_count,total_compounds,total_tp,total_tn,overall_avg_attribution,overall_max_attribution,avg_activity_rate_percent,SA_compounds,SA_tp,SA_tn,SA_avg_attr,SA_activity_pct,EC_compounds,EC_tp,EC_tn,EC_avg_attr,EC_activity_pct,CA_compounds,CA_tp,CA_tn,CA_avg_attr,CA_activity_pct,SA_example_id,SA_example_smiles,SA_example_target,SA_example_attr,SA_example_pred,SA_example_mw,EC_example_id,EC_example_smiles,EC_example_target,EC_example_attr,EC_example_pred,EC_example_mw,CA_example_id,CA_example_smiles,CA_example_target,CA_example_attr,CA_example_pred,CA_example_mw
1,16,C1=CC=CC=C1,3,33038,27606,5432,0.3497,0.7616,80.37,18187,16210,1977,0.379,89.13,9187,7269,1918,0.318,79.12,5664,4127,1537,0.352,72.86,CHEMBL4294958,CCCC(=O)C1=C(O)C=C(O)C2=C1OC1=C(C(=O)C(C)(C)C(=O)C1(C)C)C2CC(C)C,1,0.762,0.975,428.5,CHEMBL5418772,[C-]#[N+]C1=CC=C(NC(=O)C2=CC=CN=C2)C=C1,1,0.762,0.975,223.2,CS000015760,O=Nc1c(Br)cc(N2CCOCC2)cc1Br,1,0.762,0.836,350.0
2,135,C1C=CNC=C1,3,6053,5788,265,0.5668,0.7616,93.2,3148,3078,70,0.531,97.78,2802,2619,183,0.664,93.47,103,91,12,0.505,88.35,CHEMBL3617596,CCN1C=C(C(=O)NN)C(=O)C2=CC=C(C)N=C21,1,0.762,0.908,246.3,CHEMBL47028,CN1CCN(C2=C(F)C(N)=C3C(=O)C(C(=O)O)=CN(C4CC4)C3=C2F)CC1,1,0.762,0.984,378.4,CHEMBL4161550,O=C(N/N=C/C1=CC=C(Cl)C=C1)C1=CNC2=CC=C(Cl)C=C2C1=O,1,0.762,0.921,360.2
3,353,C1=CC=NC=C1,3,5811,4897,914,0.4202,0.7616,81.52,2905,2671,234,0.418,91.94,1934,1493,441,0.399,77.2,972,733,239,0.444,75.41,CHEMBL1911468,O=C(N/N=C/C1=CN=CN1)C1=CN=C2C(C(F)(F)F)=CC=CC2=C1O,1,0.762,0.981,349.3,CHEMBL2164869,NC(=O)C1=CC2=C(N3CCC(O)CC3)C(Br)=C(C(F)(F)F)N=C2N=C1N,1,0.762,0.928,434.2,CHEMBL309448,CC(C)(C)C1=NN=C2C=CN=CC2=N1,1,0.762,0.54,188.2
4,519,C1=CNC=C1,3,3900,3242,658,0.4417,0.7616,79.9,2138,1919,219,0.425,89.76,1179,888,291,0.44,75.32,583,435,148,0.46,74.61,CHEMBL1222701,CC1=CC=CC=C1C1C(C#N)=C(N)OC(C2=CNC3=CC=CC=C23)=C1C#N,1,0.762,0.991,352.4,CHEMBL1222700,CC1=CC=C(C2C(C#N)=C(N)OC(C3=CNC4=CC=CC=C34)=C2C#N)C=C1,1,0.762,0.981,352.4,CHEMBL3086186,O=[N+]([O-])C1=CNC(C2=NN=C(C3(C4=CC=CC=C4)CC3)O2)=C1,1,0.762,0.98,296.3
5,475,C1=CNC=N1,3,3902,3181,721,0.4666,0.7616,80.61,1548,1400,148,0.462,90.44,1186,837,349,0.504,70.57,1168,944,224,0.434,80.82,CHEMBL1771499,C/C(=N\N=C1\NC(=O)CS1)C1=C(C)NC(C2=CC=CC=C2)=N1,1,0.762,0.579,313.4,CHEMBL3086208,N#CCCCSC(=S)N1C=NC2=CC=CC=C21,1,0.762,0.942,261.4,CHEMBL232869,CC1=CC=C2NC(CNC3=CC=CC=C3)=NC2=C1,1,0.762,0.935,237.3
6,191,C1=CC=C2NC=CCC2=C1,3,3099,2951,148,0.6408,0.7616,93.25,1610,1556,54,0.682,96.65,1406,1321,85,0.663,93.95,83,74,9,0.577,89.16,CHEMBL2381910,CCOC(=O)C1=CN(CC(O)CN2C=NC=N2)C2=CC(Cl)=C(F)C=C2C1=O,1,0.762,0.989,394.8,CHEMBL330779,NC1CCN(C2=C(F)C=C3C(=O)C(C(=O)O)=CN(C4CC4)C3=C2F)CC1,1,0.762,0.996,363.4,CHEMBL3334504,O=C(O)C1=CN(CC(O)CN2C=NC([N+](=O)[O-])=C2)C2=C(F)C=C(F)C=C2C1=O,1,0.762,0.837,394.3
7,3,C1CCN1,3,2976,2914,62,0.4138,0.7616,82.43,1514,1507,7,0.449,99.54,1382,1368,14,0.312,98.99,80,39,41,0.481,48.75,CHEMBL2235478,O=C1C(Cl)C2(C(=O)NC3=CC=CC=C32)N1C1=CC=CC=C1,1,0.762,0.955,298.7,CHEMBL306713,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCOC(N)=O)S[C@H]12,1,0.762,0.989,334.4,CHEMBL2235686,COC1=CC=C(C2C(Cl)C(=O)N2/N=C2\C(=O)NC3=CC=C(Cl)C=C23)C=C1,1,0.762,0.834,390.2
8,71,C1=CSC=N1,3,3305,2815,490,0.4418,0.7616,84.61,1343,1149,194,0.412,85.55,1348,1162,186,0.413,86.2,614,504,110,0.5,82.08,CHEMBL1946879,NC1=NC(COC(=O)C2=CC=C(Br)C=C2)=CS1,1,0.762,0.954,313.2,CHEMBL2036908,C/C(=N\NC1=NC(C2=CC=C(I)C=C2)=CS1)C1=CC2=CC=CC=C2OC1=O,1,0.762,0.735,487.3,CHEMBL1946674,NC1=NC(COC(=O)C2=CC=CO2)=CS1,1,0.762,0.949,224.2
9,26,C1CCCCC1,3,2893,2528,365,0.3841,0.7616,84.32,1648,1532,116,0.398,92.96,668,535,133,0.378,80.09,577,461,116,0.376,79.9,CHEMBL4638855,COC1=CC=CC(C2=CN=CN2C2CCCCC2)=C1,1,0.762,0.836,256.3,CHEMBL3298263,CC(=O)C1=C[C@@]2(C)C(=CC1=O)[C@H](O)CC[C@@H]2C,1,0.762,0.589,234.3,CHEMBL2071360,[C-]#[N+][C@@H]1C2=C3C(=O)NC4=CC=CC(=C34)C(C)(C)[C@H]2C[C@@H](Cl)[C@]1(C)C=C,1,0.762,0.992,352.9
10,136,C1CC1,3,2431,2372,59,0.2532,0.7616,90.83,1166,1144,22,0.234,98.11,1198,1177,21,0.21,98.25,67,51,16,0.316,76.12,CHEMBL3828481,CCOC(=O)C1C(C(=O)C2=CC=CS2)C1C1=CC=C(OCC)C=C1,1,0.762,0.734,344.4,CHEMBL3828481,CCOC(=O)C1C(C(=O)C2=CC=CS2)C1C1=CC=C(OCC)C=C1,1,0.762,0.5,344.4,CS000448881,Nc1nc(C2CCN(C(=O)CC3CC3)CC2)cc(C(F)(F)F)n1,0,0.762,0.19,328.3
