rank,fragment_id,fragment_smiles,pathogen_count,total_compounds,total_tp,total_tn,overall_avg_attribution,overall_max_attribution,avg_activity_rate_percent,SA_compounds,SA_tp,SA_tn,SA_avg_attr,SA_activity_pct,EC_compounds,EC_tp,EC_tn,EC_avg_attr,EC_activity_pct,CA_compounds,CA_tp,CA_tn,CA_avg_attr,CA_activity_pct,SA_example_id,SA_example_smiles,SA_example_target,SA_example_attr,SA_example_pred,SA_example_mw,EC_example_id,EC_example_smiles,EC_example_target,EC_example_attr,EC_example_pred,EC_example_mw,CA_example_id,CA_example_smiles,CA_example_target,CA_example_attr,CA_example_pred,CA_example_mw
1,13,O,3,37715,34913,2802,0.2962,0.3808,91.05,20526,19549,977,0.29,95.24,11316,10220,1096,0.301,90.31,5873,5144,729,0.297,87.59,CHEMBL438444,O=C1NSC2=C1C(=O)C1=CC(F)=C(C3=CC=CC(C4CCCCN4)=C3)C=C1N2C1CC1,1,0.381,0.998,435.5,CHEMBL337757,CC1=C(N2CCC3=CC=CC=C3C2)C([N+](=O)[O-])=CC2=C1N(C1CC1)C=C(C(=O)O)C2=O,1,0.381,0.85,419.4,CHEMBL4586026,COC1=CC=C(C2=C(C(=O)C3=CN(C4=CC=C(F)C=C4)N=N3)N3C=CSC3=N2)C=C1,1,0.381,0.988,419.4
2,9,C,3,15257,13982,1275,0.2698,0.3808,90.49,8156,7750,406,0.267,95.02,4531,3922,609,0.261,86.56,2570,2310,260,0.281,89.88,CHEMBL35739,CN(CC1=CC=CC=C1)C1=CN=C2N=C(N)N=C(N)C2=N1,1,0.381,0.943,281.3,CHEMBL1160678,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SC3=NC(C4=CC=NC=C4)=CS3)[C@H](C)[C@H]12,1,0.381,0.982,403.5,CHEMBL4746254,CCCC1=C(C(=O)OC)C(=O)[C@@](C)(/C=C/CC[C@@H](C)O)O1,1,0.381,0.988,296.4
3,11,O=CO,3,10454,10028,426,0.3002,0.3808,94.65,5811,5689,122,0.292,97.9,4269,3993,276,0.324,93.53,374,346,28,0.284,92.51,CHEMBL177899,O=C1O[C@@H](CN2C=C(Br)N=N2)CN1C1=CC=C(C2=CCS(=O)(=O)CC2)C(F)=C1,1,0.381,0.994,471.3,CHEMBL192813,CN1CCN(C2=CC3=C(C=C2F)C(=O)C(C(=O)O)=CN3C)CC1,1,0.381,0.959,319.3,CHEMBL3741296,CCCN[C@@](C)(CO[C@H]1[C@H](N2N=NC(N)=N2)C[C@@]23COC[C@]1(C)[C@@H]2CC[C@H]1C3=CC[C@@]2(C)[C@H](C(=O)O)[C@@](C)([C@H](C)C(C)C)CC[C@]12C)C(C)C,1,0.381,0.998,697.0
4,145,F,3,9803,9402,401,0.2207,0.3808,94.53,5531,5405,126,0.235,97.72,3005,2839,166,0.222,94.48,1267,1158,109,0.205,91.4,CHEMBL203491,O=C1NSC2=C1C(=O)C1=CC(F)=C(C3=CN=CC(C4CCCN4)=C3)C=C1N2C1CC1,1,0.381,0.998,422.5,CHEMBL106171,COC1=CC=C(C2=C3N=C(N4CCC(N)C4)C(F)=CN3C(=O)C(C(=O)O)=C2)C=C1,1,0.381,0.993,398.4,CHEMBL3250959,CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)CCC(=O)NC1=NC(=O)NC=C1F)C(=O)O,1,0.381,0.975,455.5
5,581,C-C-C-C,3,7387,6215,1172,0.2817,0.3808,82.6,3557,3242,315,0.286,91.14,2375,1791,584,0.288,75.41,1455,1182,273,0.272,81.24,CHEMBL415711,NC1=CC(=O)C2=CC=CC=C2C1=O,1,0.381,0.946,173.2,CHEMBL4742810,CC(C)(C)OC(=O)NCCCN1[Se]C2=CC=CC=C2C1=O,1,0.381,0.973,355.3,CHEMBL2391234,IC1=CC=C(NCC2=NC3=CC=CC=C3N2)C=C1,1,0.381,0.91,349.2
6,38,CO,3,6937,6199,738,0.2637,0.3808,86.83,3986,3755,231,0.267,94.2,1887,1547,340,0.268,81.98,1064,897,167,0.256,84.3,CHEMBL4287895,CO[C@H]1/C=C/CCCCC[C@@H](C)OC(=O)/C=C\C=C\C[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)/C=C/C=C\C[C@H](O)C1,1,0.381,0.95,580.7,CHEMBL457468,COC1CC(C2=CC=CC=C2)=NN1/C(C)=N\OC(=O)C1=CC=CO1,1,0.381,0.953,327.3,CHEMBL5279385,CO[C@H]1/C=C/C=C/CCC[C@@H](C)OC(=O)/C=C\C=C\C[C@H](O[C@@H]2O[C@@H](CO)[C@@H](O)[C@H](O)[C@H]2O)/C=C/C=C\C[C@H](O)C1,1,0.381,0.797,578.7
7,52,Cl,3,6451,5915,536,0.2473,0.3808,90.61,3850,3588,262,0.243,93.19,1361,1258,103,0.243,92.43,1240,1069,171,0.257,86.21,CHEMBL5191207,O=C1N=C(SCC2=CN(C3=CC=CC=C3)N=N2)SC2=C([N+](=O)[O-])C=C(Cl)C=C12,1,0.381,0.989,431.9,CHEMBL178762,N=C1C(Cl)=C(O)OC1O,1,0.381,0.942,149.5,CHEMBL2071360,[C-]#[N+][C@@H]1C2=C3C(=O)NC4=CC=CC(=C34)C(C)(C)[C@H]2C[C@@H](Cl)[C@]1(C)C=C,1,0.381,0.992,352.9
8,25,N,3,5620,5265,355,0.2688,0.3808,91.6,2958,2816,142,0.27,95.2,2008,1890,118,0.263,94.12,654,559,95,0.273,85.47,CHEMBL396518,CC1=CC=C(S(=O)(=O)N(CC2=CC=CC=C2)C2=CC=C(NC3=NC(N4C[C@H](N)C[C@H](N)C4)=NC(N4C[C@@H](N)C[C@H]4CN)=N3)C=C2O)C=C1,1,0.381,0.961,673.8,CHEMBL497581,CC1=C(N2CCCC2)C(F)=CC2=C1N(C1CC1)C(=O)N(N)C2=O,1,0.381,0.969,318.4,CHEMBL557345,CCN1CCN(C(=N)C2=CC=C3NC(C4=CC=C(OC5=CC=C(C6=NC7=CC(C(=N)N8CCN(CC)CC8)=CC=C7N6)C=C5)C=C4)=NC3=C2)CC1,1,0.381,0.966,680.9
9,151,C-C(C(=O)O)-C=O,3,3981,3956,25,0.2449,0.3661,96.1,2167,2165,2,0.268,99.91,1776,1757,19,0.218,98.93,38,34,4,0.249,89.47,CHEMBL328489,N#CCC(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(=O)N3CCN(C4=CC5=C(C=C4F)C(=O)C(C(=O)O)=CN5C4CC4)CC3)CS[C@H]12,1,0.366,0.997,654.6,CHEMBL3769493,CCCCCCCCCCCCN1C(CN2CCN(C3=CC4=C(C=C3F)C(=O)C(C(=O)O)=CN4C3CC3)CC2)=NC2=CC=CC=C21,1,0.366,0.688,629.8,CS000061100,O=C(O)c1cn(C2CC2)c2cc(N3CCN(S(=O)(=O)F)CC3)c(F)cc2c1=O,0,0.365,0.079,413.4
10,24,C=O,3,3393,3221,172,0.3239,0.3808,93.79,1734,1687,47,0.339,97.29,1190,1107,83,0.343,93.03,469,427,42,0.29,91.04,CHEMBL308936,CO/N=C(\C(=O)NC1C(=O)N2C(C(=O)O)=C(/C=C\C3=CSN=N3)CSC12)C1=CSC(N)=N1,1,0.381,0.961,493.6,CHEMBL45435,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=CCC[C@H]12)C1=CSC(N)=N1,1,0.381,0.994,365.4,CS000474239,O=Cc1coc2ccc(Br)cc2c1=O,1,0.381,0.833,253.1
