COMPOUND_ID,source_library,amine_fragment_smiles,amine_fragment_id,has_azole,aromatic_N_count,aliphatic_amine_count,coupling_likely_ok,product_linkage_type,handle_origin_amine
CMPD_001,SA,NCc1nccs1,17229,False,1,1,True,amide,native_amine
CMPD_002,SA,CN[C@H]1CO[C@H]([C@@H](O)Cc2c(F)cnc3ccc(OC)cc23)OC1,19582,False,1,1,True,amide,native_amine
CMPD_003,SA,NCCCNc1cc(O)c2ccccc2n1,18439,False,1,2,True,amide,native_amine
CMPD_004,SA,CNc1ccon1,17974,False,1,1,True,amide,native_amine
CMPD_005,SA,CN[C@H]1CO[C@H](CCc2ccnc3ccc(OC)cc23)OC1,14294,False,1,1,True,amide,native_amine
CMPD_006,SA,NS(=O)(=O)Nc1ccc(-n2ccc(C(F)(F)F)n2)cc1,10346,False,2,2,True,amide,native_amine
CMPD_007,SA,CNCCCNc1nc2ccccc2[nH]1,17916,True,2,2,True,amide,native_amine
CMPD_009,SA,CNCCCNc1nc2ccccc2[nH]1,17916,True,2,2,True,amide,native_amine
CMPD_012,SA,Nc1c[nH]c2ccccc12,13012,False,1,1,True,amide,native_amine
CMPD_013,SA,CN[C@H]1CO[C@H]([C@@H](O)Cc2c(F)cnc3ccc(OC)nc23)OC1,14487,False,2,1,True,amide,native_amine
CMPD_020,SA,Cc1ncsc1-c1ccnc(NC(=N)N)n1,16658,False,3,2,True,amide,native_amine
CMPD_021,SA,Nc1c[nH]c2ccccc12,13012,False,1,1,True,amide,native_amine
CMPD_022,SA,CC(C)CCn1cc(NC=O)cc1C(=O)NCCC(=N)N,17700,False,1,1,True,amide,native_amine
CMPD_023,SA,O=C1NC[C@H](CNc2ccon2)O1,17972,False,1,1,True,amide,native_amine
CMPD_024,SA,CN[C@H]1CO[C@H]([C@@H](O)Cc2c(F)cnc3ccc(OC)nc23)OC1,14487,False,2,1,True,amide,native_amine
CMPD_025,SA,NCCCNc1cc(O)c2ccccc2n1,18439,False,1,2,True,amide,native_amine
CMPD_026,SA,CN[C@H]1CO[C@H]([C@@H](O)Cc2c(F)cnc3ccc(OC)cc23)OC1,19582,False,1,1,True,amide,native_amine
CMPD_028,SA,CN[C@H]1CO[C@H](CCc2ccnc3ccc(OC)cc23)OC1,14294,False,1,1,True,urea,native_amine
CMPD_032,SA,CN[C@H]1CO[C@H](CCc2ccnc3ccc(OC)cc23)OC1,14294,False,1,1,True,amide,native_amine
CMPD_033,SA,Cc1ncsc1-c1ccnc(NC(=N)N)n1,16658,False,3,2,True,amide,native_amine
CMPD_034,SA,Nc1c[nH]c2ccccc12,13012,False,1,1,True,urea,native_amine
CMPD_035,SA,NS(=O)(=O)Nc1ccc(-n2ccc(C(F)(F)F)n2)cc1,10346,False,2,2,True,amide,native_amine
CMPD_038,SA,CNCCCNc1nc2ccccc2[nH]1,17916,True,2,2,True,urea,native_amine
CMPD_040,SA,O=C1NC[C@H](CNc2ccon2)O1,17972,False,1,1,True,amide,native_amine
CMPD_045,SA,CNc1ccon1,17974,False,1,1,True,urea,native_amine
CMPD_049,SA,NCc1nccs1,17229,False,1,1,True,urea,native_amine
CMPD_053,SA,NCc1nccs1,17229,False,1,1,True,amide,native_amine
CMPD_054,SA,NCc1nccs1,17229,False,1,1,True,urea,native_amine
CMPD_055,SA,CNc1ccon1,17974,False,1,1,True,amide,native_amine
CMPD_057,SA,NCCCNc1cc(O)c2ccccc2n1,18439,False,1,2,True,urea,native_amine
CMPD_060,SA,CNc1ccon1,17974,False,1,1,True,urea,native_amine
CMPD_065,SA,CC(C)CCn1cc(NC=O)cc1C(=O)NCCC(=N)N,17700,False,1,1,True,amide,native_amine
CMPD_069,SA,O=C1NC[C@H](CNc2ccon2)O1,17972,False,1,1,True,urea,native_amine
CMPD_070,SA,Nc1c[nH]c2ccccc12,13012,False,1,1,True,urea,native_amine
CMPD_071,SA,CN[C@H]1CO[C@H]([C@@H](O)Cc2c(F)cnc3ccc(OC)cc23)OC1,19582,False,1,1,True,urea,native_amine
CMPD_073,SA,O=C1NC[C@H](CNc2ccon2)O1,17972,False,1,1,True,urea,native_amine
CMPD_076,SA,NS(=O)(=O)Nc1ccc(-n2ccc(C(F)(F)F)n2)cc1,10346,False,2,2,True,urea,native_amine
CMPD_081,SA,Cc1ncsc1-c1ccnc(NC(=N)N)n1,16658,False,3,2,True,urea,native_amine
CMPD_084,SA,CN[C@H]1CO[C@H]([C@@H](O)Cc2c(F)cnc3ccc(OC)nc23)OC1,14487,False,2,1,True,urea,native_amine
CMPD_086,SA,CNCCCNc1nc2ccccc2[nH]1,17916,True,2,2,True,urea,native_amine
CMPD_087,SA,CN[C@H]1CO[C@H](CCc2ccnc3ccc(OC)cc23)OC1,14294,False,1,1,True,urea,native_amine
CMPD_091,SA,CC(C)CCn1cc(NC=O)cc1C(=O)NCCC(=N)N,17700,False,1,1,True,urea,native_amine
CMPD_093,SA,NCCCNc1cc(O)c2ccccc2n1,18439,False,1,2,True,urea,native_amine
CMPD_095,SA,Cc1ncsc1-c1ccnc(NC(=N)N)n1,16658,False,3,2,True,urea,native_amine
CMPD_096,SA,CN[C@H]1CO[C@H]([C@@H](O)Cc2c(F)cnc3ccc(OC)nc23)OC1,14487,False,2,1,True,urea,native_amine
CMPD_098,SA,CN[C@H]1CO[C@H]([C@@H](O)Cc2c(F)cnc3ccc(OC)cc23)OC1,19582,False,1,1,True,urea,native_amine
CMPD_099,SA,NS(=O)(=O)Nc1ccc(-n2ccc(C(F)(F)F)n2)cc1,10346,False,2,2,True,urea,native_amine
CMPD_100,SA,CC(C)CCn1cc(NC=O)cc1C(=O)NCCC(=N)N,17700,False,1,1,True,urea,native_amine
CMPD_113,EC,Cc1ccc2[nH]c(NCCC#N)nc2n1,205873,True,3,1,True,amide,native_amine
CMPD_116,EC,Cc1noc(NS(=O)(=O)c2ccccc2)c1C,210895,False,1,1,True,amide,native_amine
CMPD_124,EC,Cc1noc(NS(=O)(=O)c2ccccc2)c1C,210895,False,1,1,True,amide,native_amine
CMPD_128,EC,Nc1ncc2cc(-c3c(Cl)cccc3Cl)cnc2n1,208912,False,3,1,True,urea,native_amine
CMPD_136,EC,Nc1ncc2cc(-c3c(Cl)cccc3Cl)cnc2n1,208912,False,3,1,True,amide,native_amine
CMPD_137,EC,Cc1ccc2[nH]c(NCCC#N)nc2n1,205873,True,3,1,True,amide,native_amine
CMPD_138,EC,Cc1noc(NS(=O)(=O)c2ccccc2)c1C,210895,False,1,1,True,urea,native_amine
CMPD_140,EC,Nc1ccc2cnc(N)nc2n1,209076,False,3,2,True,amide,native_amine
CMPD_144,EC,Nc1ncc2cc(-c3c(Cl)cccc3Cl)cnc2n1,208912,False,3,1,True,amide,native_amine
