COMPOUND_ID,SMILES,ensemble_prediction,prediction,prediction_std,n_models,individual_predictions,ensemble_agreement,reliability_status,decision_scenario,decision_scenario_description,recommended_action,reliability_confidence,reliability_fragments_total,reliability_fragments_consistent,reliability_consistency_pct,reliability_avg_attribution,xai_method,xai_failure_reason,murcko_substructure_0_attribution,murcko_substructure_1_attribution,murcko_substructure_2_attribution,murcko_substructure_3_attribution,murcko_substructure_4_attribution,murcko_substructure_5_attribution,murcko_substructure_6_attribution,murcko_substructure_7_attribution,murcko_substructure_8_attribution,murcko_substructure_9_attribution,murcko_substructure_10_attribution,murcko_substructure_11_attribution,murcko_substructure_12_attribution,murcko_substructure_13_attribution,murcko_substructure_14_attribution,murcko_substructure_15_attribution,murcko_substructure_16_attribution,murcko_substructure_0_smiles,murcko_substructure_1_smiles,murcko_substructure_2_smiles,murcko_substructure_3_smiles,murcko_substructure_4_smiles,murcko_substructure_5_smiles,murcko_substructure_6_smiles,murcko_substructure_7_smiles,murcko_substructure_8_smiles,murcko_substructure_9_smiles,murcko_substructure_10_smiles,murcko_substructure_11_smiles,murcko_substructure_12_smiles,murcko_substructure_13_smiles,murcko_substructure_14_smiles,murcko_substructure_15_smiles,murcko_substructure_16_smiles,murcko_substituent_0_0_smiles,murcko_substituent_0_0_context,murcko_substituent_0_0_attribution,murcko_substituent_0_1_smiles,murcko_substituent_0_1_context,murcko_substituent_0_1_attribution,murcko_substituent_0_2_smiles,murcko_substituent_0_2_context,murcko_substituent_0_2_attribution,murcko_substituent_0_3_smiles,murcko_substituent_0_3_context,murcko_substituent_0_3_attribution,murcko_substituent_1_0_smiles,murcko_substituent_1_0_context,murcko_substituent_1_0_attribution,murcko_substituent_1_1_smiles,murcko_substituent_1_1_context,murcko_substituent_1_1_attribution,murcko_substituent_1_2_smiles,murcko_substituent_1_2_context,murcko_substituent_1_2_attribution,murcko_substituent_1_3_smiles,murcko_substituent_1_3_context,murcko_substituent_1_3_attribution,murcko_substituent_2_0_smiles,murcko_substituent_2_0_context,murcko_substituent_2_0_attribution,murcko_substituent_2_1_smiles,murcko_substituent_2_1_context,murcko_substituent_2_1_attribution,murcko_substituent_2_2_smiles,murcko_substituent_2_2_context,murcko_substituent_2_2_attribution,murcko_substituent_2_3_smiles,murcko_substituent_2_3_context,murcko_substituent_2_3_attribution,murcko_substituent_3_0_smiles,murcko_substituent_3_0_context,murcko_substituent_3_0_attribution,murcko_substituent_3_1_smiles,murcko_substituent_3_1_context,murcko_substituent_3_1_attribution,murcko_substituent_3_2_smiles,murcko_substituent_3_2_context,murcko_substituent_3_2_attribution,murcko_substituent_3_3_smiles,murcko_substituent_3_3_context,murcko_substituent_3_3_attribution,murcko_substituent_3_4_smiles,murcko_substituent_3_4_context,murcko_substituent_3_4_attribution,murcko_substituent_3_5_smiles,murcko_substituent_3_5_context,murcko_substituent_3_5_attribution,murcko_substituent_4_0_smiles,murcko_substituent_4_0_context,murcko_substituent_4_0_attribution,murcko_substituent_4_1_smiles,murcko_substituent_4_1_context,murcko_substituent_4_1_attribution,murcko_substituent_4_2_smiles,murcko_substituent_4_2_context,murcko_substituent_4_2_attribution,murcko_substituent_4_3_smiles,murcko_substituent_4_3_context,murcko_substituent_4_3_attribution,murcko_substituent_5_0_smiles,murcko_substituent_5_0_context,murcko_substituent_5_0_attribution,murcko_substituent_5_1_smiles,murcko_substituent_5_1_context,murcko_substituent_5_1_attribution,murcko_substituent_5_2_smiles,murcko_substituent_5_2_context,murcko_substituent_5_2_attribution,murcko_substituent_5_3_smiles,murcko_substituent_5_3_context,murcko_substituent_5_3_attribution,murcko_substituent_6_0_smiles,murcko_substituent_6_0_context,murcko_substituent_6_0_attribution,murcko_substituent_6_1_smiles,murcko_substituent_6_1_context,murcko_substituent_6_1_attribution,murcko_substituent_6_2_smiles,murcko_substituent_6_2_context,murcko_substituent_6_2_attribution,murcko_substituent_6_3_smiles,murcko_substituent_6_3_context,murcko_substituent_6_3_attribution,murcko_substituent_7_0_smiles,murcko_substituent_7_0_context,murcko_substituent_7_0_attribution,murcko_substituent_7_1_smiles,murcko_substituent_7_1_context,murcko_substituent_7_1_attribution,murcko_substituent_7_2_smiles,murcko_substituent_7_2_context,murcko_substituent_7_2_attribution,murcko_substituent_7_3_smiles,murcko_substituent_7_3_context,murcko_substituent_7_3_attribution,murcko_substituent_8_0_smiles,murcko_substituent_8_0_context,murcko_substituent_8_0_attribution,murcko_substituent_8_1_smiles,murcko_substituent_8_1_context,murcko_substituent_8_1_attribution,murcko_substituent_8_2_smiles,murcko_substituent_8_2_context,murcko_substituent_8_2_attribution,murcko_substituent_8_3_smiles,murcko_substituent_8_3_context,murcko_substituent_8_3_attribution,murcko_substituent_9_0_smiles,murcko_substituent_9_0_context,murcko_substituent_9_0_attribution,murcko_substituent_9_1_smiles,murcko_substituent_9_1_context,murcko_substituent_9_1_attribution,murcko_substituent_9_2_smiles,murcko_substituent_9_2_context,murcko_substituent_9_2_attribution,murcko_substituent_9_3_smiles,murcko_substituent_9_3_context,murcko_substituent_9_3_attribution,max_sim_CA_all,max_sim_CA_active,max_sim_CA_inactive
CMPD_007,C[C:1](=O)[N:5](C)CCCNc1nc2ccccc2[nH]1,0.0751191508024931,0,0.0332834331347814,5,"[0.021000271663069725, 0.09400790184736252, 0.05601392686367035, 0.08793200552463531, 0.11664164811372757]",HIGH,LOW,B,HIGH Agreement + LOW Reliability,"Trust prediction, validate mechanism experimentally",LOW,3.0,0.0,0.0,0.3396961654880617,murcko,,0.0989099290420929,0.7615938516210783,0.1585847158010141,,,,,,,,,,,,,,,C1=CNC=N1,C1=CC=CC=C1,C1=CC=C2NC=NC2=C1,,,,,,,,,,,,,,,C[C-1](=O)[N-5](C)CCCN,aromatic,0.0494549645210464,C-C-C-C,aromatic,0.0494549645210464,,,,,,,C[C-1](=O)[N-5](C)CCCNC(-N)-N,aromatic,0.3807969258105391,,,,,,,,,,C[C-1](=O)[N-5](C)CCCN,aromatic,0.079292357900507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5333333333333333,0.4791666666666667,0.5333333333333333
CMPD_022,CC(C)CCn1cc(NC=O)cc1C(=O)NCCC(=N)[NH:5][C:1](C)=O,0.0131215222179889,0,0.0087838776883686,5,"[0.030555427074432373, 0.007614851463586092, 0.0074935066513717175, 0.009930448606610298, 0.010013377293944359]",HIGH,HIGH,A,HIGH Agreement + HIGH Reliability,Trust + Use explanation for SAR,HIGH,1.0,1.0,100.0,-0.7615917769911579,murcko,,-0.7615917769911579,,,,,,,,,,,,,,,,,C1=CNC=C1,,,,,,,,,,,,,,,,,CCC(C)C,aromatic,-0.3807958884955789,NC=O,aromatic,-0.3807958884955789,C[C-1](=O)[NH-5]C(=N)CCNC=O,aromatic,-0.3807958884955789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5757575757575758,0.40789473684210525,0.5757575757575758
CMPD_065,CC(C)CCn1cc(NC=O)cc1C(=O)NCCC(=N)[NH:5][C:1](=O)NCCN(O)Cc1ccccc1,0.0642907116562128,0,0.0490268368731164,5,"[0.05514661222696304, 0.04549457132816315, 0.016748683527112007, 0.15891863405704498, 0.04514505714178085]",HIGH,LOW,B,HIGH Agreement + LOW Reliability,"Trust prediction, validate mechanism experimentally",LOW,2.0,1.0,50.0,0.3129053403622682,murcko,,0.7615938245624304,-0.135783143837894,,,,,,,,,,,,,,,,C1=CNC=C1,C1=CC=CC=C1,,,,,,,,,,,,,,,,CCC(C)C,aromatic,0.3807969122812152,NC=O,aromatic,0.3807969122812152,N=C(CCNC=O)[NH-5][C-1](=O)NCCN(O)CC1=CC=CC=C1,aromatic,0.3807969122812152,,,,CC(C)CCN1C=C(NC=O)C=C1C(=O)NCCC(=N)[NH-5][C-1](=O)NCCN(C)O,aromatic,-0.067891571918947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5063291139240507,0.3763440860215054,0.5063291139240507
CMPD_112,O=[C:1](Cc1ccc(O)c(O)c1)[NH:5]C[C@H](O)c1ccccc1,0.1398080113343894,0,0.2385869498956489,5,"[0.007298830896615982, 0.005925783421844244, 0.03401334956288338, 0.03548601269721985, 0.6163160800933838]",LOW,HIGH,C,LOW Agreement + HIGH Reliability,"Investigate prediction uncertainty, trust mechanism",MODERATE,2.0,1.0,50.0,-0.1458363245227957,murcko,,-0.7615928377020653,0.4699201886564738,,,,,,,,,,,,,,,,C1=CC=CC=C1,C1=CC=CC=C1,,,,,,,,,,,,,,,,C[C-1](=O)[NH-5]C[C@H](O)C1=CC=CC=C1,aromatic,-0.3807964188510326,O,aromatic,-0.3807964188510326,O,aromatic,-0.3807964188510326,,,,O=[C-1](CC1=CC=C(O)C(O)=C1)[NH-5]CCO,aromatic,0.2349600943282369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,0.54,0.54
CMPD_122,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(C[NH:5][C:1](=O)Cc3ccc(O)c(O)c3)CCC[C@]21C,0.3766609720885753,0,0.2857164333499171,5,"[0.05673891678452492, 0.7679031491279602, 0.583315908908844, 0.4266278147697449, 0.048719070851802826]",LOW,LOW,D,LOW Agreement + LOW Reliability,Full experimental validation required,LOW,8.0,0.0,0.0,0.6394179096491123,murcko,,0.6068304999784662,0.5387367900538125,0.5342051985748738,0.611518340450891,0.6047874266119162,0.7179224227363948,0.7615940380184119,0.7397485607681316,,,,,,,,,,C1=CC=CC=C1,C1=CCCCC1,C1=CC=CC=C1,C1CCCCC1,C1=CC=C2CCCCC2=C1,C1=CC=C(C=C1)C1CCCCC1,C1=CC2CCCC[C@@H]2CC1,C1=CC=C2C(=C1)CC[C@H]1CCCCC21,,,,,,,,,,CCC,aromatic,0.3034152499892331,CC[C@@H]1C(C)CCC[C@@]1(C)C[NH-5][C-1](=O)CC1=CC=C(O)C(O)=C1,aromatic,0.3034152499892331,,,,,,,C-C-C(C(C)C)-C,aromatic,0.2693683950269062,CCCC(C)C[NH-5][C-1](=O)CC1=CC=C(O)C(O)=C1,aliphatic,0.2693683950269062,C,aliphatic,0.2693683950269062,,,,CC(C)C1=CC=C2C(=C1)CC[C@H]1[C@](C)(C[NH-5][C-1](C)=O)CCC[C@]21C,aromatic,0.2671025992874369,O,aromatic,0.2671025992874369,O,aromatic,0.2671025992874369,,,,CCC1=CC(C(C)C)=CC=C1,aliphatic,0.3057591702254455,C,aliphatic,0.3057591702254455,C[NH-5][C-1](=O)CC1=CC=C(O)C(O)=C1,aliphatic,0.3057591702254455,C,aliphatic,0.3057591702254455,,,,,,,CCC,aromatic,0.3023937133059581,CCCC(C)C[NH-5][C-1](=O)CC1=CC=C(O)C(O)=C1,aliphatic,0.3023937133059581,C,aliphatic,0.3023937133059581,,,,CCC,aromatic,0.3589612113681974,C,aliphatic,0.3589612113681974,C[NH-5][C-1](=O)CC1=CC=C(O)C(O)=C1,aliphatic,0.3589612113681974,C,aliphatic,0.3589612113681974,C-C-C(C(C)C)-C,aromatic,0.3807970190092059,C,aliphatic,0.3807970190092059,C[NH-5][C-1](=O)CC1=CC=C(O)C(O)=C1,aliphatic,0.3807970190092059,C,aliphatic,0.3807970190092059,CCC,aromatic,0.3698742803840658,C,aliphatic,0.3698742803840658,C[NH-5][C-1](=O)CC1=CC=C(O)C(O)=C1,aliphatic,0.3698742803840658,C,aliphatic,0.3698742803840658,,,,,,,,,,,,,,,,,,,,,,,,,0.7142857142857143,0.6056338028169014,0.7142857142857143
CMPD_126,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(C[NH:5][C:1](=O)NC[CH]C(=O)NO)CCC[C@]21C,0.2709842473268509,0,0.2502194410599074,5,"[0.256835013628006, 0.7047044038772583, 0.04498203098773956, 0.3399165868759155, 0.008483201265335083]",LOW,LOW,D,LOW Agreement + LOW Reliability,Full experimental validation required,LOW,7.0,0.0,0.0,0.5127011616431675,murcko,,0.4227602118867124,0.1718654376563536,0.653514261837853,0.2075180130102647,0.6813076091463515,0.7615939776280674,0.6903486203365703,,,,,,,,,,,C1=CC=CC=C1,C1=CCCCC1,C1CCCCC1,C1=CC=C2CCCCC2=C1,C1=CC=C(C=C1)C1CCCCC1,C1=CC2CCCC[C@@H]2CC1,C1=CC=C2C(=C1)CC[C@H]1CCCCC21,,,,,,,,,,,CCC,aromatic,0.2113801059433562,CC[C@@H]1C(C)CCC[C@@]1(C)C[NH-5][C-1](=O)NC[CH]C(=O)NO,aromatic,0.2113801059433562,,,,,,,C-C-C(C(C)C)-C,aromatic,0.0859327188281768,CCCC(C)C[NH-5][C-1](=O)NC[CH]C(=O)NO,aliphatic,0.0859327188281768,C,aliphatic,0.0859327188281768,,,,CCC1=CC(C(C)C)=CC=C1,aliphatic,0.3267571309189265,C,aliphatic,0.3267571309189265,C[NH-5][C-1](=O)NC[CH]C(=O)NO,aliphatic,0.3267571309189265,C,aliphatic,0.3267571309189265,CCC,aromatic,0.1037590065051323,CCCC(C)C[NH-5][C-1](=O)NC[CH]C(=O)NO,aliphatic,0.1037590065051323,C,aliphatic,0.1037590065051323,,,,,,,,,,CCC,aromatic,0.3406538045731757,C,aliphatic,0.3406538045731757,C[NH-5][C-1](=O)NC[CH]C(=O)NO,aliphatic,0.3406538045731757,C,aliphatic,0.3406538045731757,C-C-C(C(C)C)-C,aromatic,0.3807969888140337,C,aliphatic,0.3807969888140337,C[NH-5][C-1](=O)NC[CH]C(=O)NO,aliphatic,0.3807969888140337,C,aliphatic,0.3807969888140337,CCC,aromatic,0.3451743101682851,C,aliphatic,0.3451743101682851,C[NH-5][C-1](=O)NC[CH]C(=O)NO,aliphatic,0.3451743101682851,C,aliphatic,0.3451743101682851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7142857142857143,0.6056338028169014,0.7142857142857143
CMPD_129,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(C[NH:5][C:1](=O)C[C@@H](C[S+][O-])CC(=O)O)CCC[C@]21C,0.3890785101801157,0,0.3897251022544327,5,"[0.13611145317554474, 0.7879536151885986, 0.9336694478988647, 0.06991427391767502, 0.017743760719895363]",LOW,LOW,D,LOW Agreement + LOW Reliability,Full experimental validation required,LOW,7.0,2.0,28.57142857142857,0.2772338920476168,murcko,,0.4726793961696823,-0.3821750408248205,0.7104475060966216,-0.2666835313009454,0.2749108041566655,0.7615937093108828,0.3698644007252316,,,,,,,,,,,C1=CC=CC=C1,C1=CCCCC1,C1CCCCC1,C1=CC=C2CCCCC2=C1,C1=CC=C(C=C1)C1CCCCC1,C1=CC2CCCC[C@@H]2CC1,C1=CC=C2C(=C1)CC[C@H]1CCCCC21,,,,,,,,,,,CCC,aromatic,0.2363396980848411,CC[C@@H]1C(C)CCC[C@@]1(C)C[NH-5][C-1](=O)C[C@@H](C[S+][O-])CC(=O)O,aromatic,0.2363396980848411,,,,,,,C-C-C(C(C)C)-C,aromatic,-0.1910875204124102,CCCC(C)C[NH-5][C-1](=O)C[C@@H](C[S+][O-])CC(=O)O,aliphatic,-0.1910875204124102,C,aliphatic,-0.1910875204124102,,,,CCC1=CC(C(C)C)=CC=C1,aliphatic,0.3552237530483108,C,aliphatic,0.3552237530483108,C[NH-5][C-1](=O)C[C@@H](C[S+][O-])CC(=O)O,aliphatic,0.3552237530483108,C,aliphatic,0.3552237530483108,CCC,aromatic,-0.1333417656504727,CCCC(C)C[NH-5][C-1](=O)C[C@@H](C[S+][O-])CC(=O)O,aliphatic,-0.1333417656504727,C,aliphatic,-0.1333417656504727,,,,,,,,,,CCC,aromatic,0.1374554020783327,C,aliphatic,0.1374554020783327,C[NH-5][C-1](=O)C[C@@H](C[S+][O-])CC(=O)O,aliphatic,0.1374554020783327,C,aliphatic,0.1374554020783327,C-C-C(C(C)C)-C,aromatic,0.3807968546554414,C,aliphatic,0.3807968546554414,C[NH-5][C-1](=O)C[C@@H](C[S+][O-])CC(=O)O,aliphatic,0.3807968546554414,C,aliphatic,0.3807968546554414,CCC,aromatic,0.1849322003626158,C,aliphatic,0.1849322003626158,C[NH-5][C-1](=O)C[C@@H](C[S+][O-])CC(=O)O,aliphatic,0.1849322003626158,C,aliphatic,0.1849322003626158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6617647058823529,0.5866666666666667,0.6617647058823529
CMPD_145,CC(NCCC(=O)N/N=C/c1c(O)ccc2ccccc12)[NH:5][C:1](=O)Cc1ccc(O)c(O)c1,0.0163285607472062,0,0.0078825925714316,5,"[0.017313022166490555, 0.008837174624204636, 0.025053376331925392, 0.024573875591158867, 0.005865355022251606]",HIGH,LOW,B,HIGH Agreement + LOW Reliability,"Trust prediction, validate mechanism experimentally",LOW,4.0,1.0,25.0,0.3175315530551881,murcko,,0.6068545374107203,-0.4022557788666451,0.3039341767512958,0.7615932769253816,,,,,,,,,,,,,,C1=CC=CC=C1,C1=CC=CC=C1,C1=CC=CC=C1,C1=CC2=CC=CC=C2C=C1,,,,,,,,,,,,,,C=N/NC(=O)CCNC(C)[NH-5][C-1](=O)CC1=CC=C(O)C(O)=C1,aromatic,0.3034272687053601,O,aromatic,0.3034272687053601,C-C-C-C,aromatic,0.3034272687053601,,,,C-C-C(O)-C/C=N/NC(=O)CCNC(C)[NH-5][C-1](=O)CC1=CC=C(O)C(O)=C1,aromatic,-0.2011278894333225,,,,,,,,,,CC(NCCC(=O)N/N=C/C1=C(O)C=CC2=CC=CC=C12)[NH-5][C-1](C)=O,aromatic,0.1519670883756479,O,aromatic,0.1519670883756479,O,aromatic,0.1519670883756479,,,,C=N/NC(=O)CCNC(C)[NH-5][C-1](=O)CC1=CC=C(O)C(O)=C1,aromatic,0.3807966384626908,O,aromatic,0.3807966384626908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5217391304347826,0.43283582089552236,0.5217391304347826
CMPD_161,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(C[NH:5][C:1](=O)NC[CH]C[C@](C)(C(=O)NO)S(C)(=O)=O)CCC[C@]21C,0.443624821305275,0,0.2750721386048824,5,"[0.30949726700782776, 0.8572369813919067, 0.6797691583633423, 0.2025052011013031, 0.16911549866199493]",LOW,LOW,D,LOW Agreement + LOW Reliability,Full experimental validation required,LOW,7.0,2.0,28.57142857142857,0.1858619442625675,murcko,,-0.0927131223763595,-0.5060700670125057,0.7210105907268368,-0.598783655960416,0.4855245417103329,0.7615938704188726,0.5304714523312113,,,,,,,,,,,C1=CC=CC=C1,C1=CCCCC1,C1CCCCC1,C1=CC=C2CCCCC2=C1,C1=CC=C(C=C1)C1CCCCC1,C1=CC2CCCC[C@@H]2CC1,C1=CC=C2C(=C1)CC[C@H]1CCCCC21,,,,,,,,,,,CCC,aromatic,-0.0463565611881797,CC[C@@H]1C(C)CCC[C@@]1(C)C[NH-5][C-1](=O)NC[CH]C[C@](C)(C(=O)NO)S(C)(=O)=O,aromatic,-0.0463565611881797,,,,,,,CCCC(C)C[NH-5][C-1](=O)NC[CH]C[C@](C)(C(=O)NO)S(C)(=O)=O,aliphatic,-0.2530350335062528,C,aliphatic,-0.2530350335062528,C-C-C(C(C)C)-C,aromatic,-0.2530350335062528,,,,C,aliphatic,0.3605052953634184,CCC1=CC(C(C)C)=CC=C1,aliphatic,0.3605052953634184,C,aliphatic,0.3605052953634184,C[C@@](C[CH]CN[C-1](=O)[NH-5]C)(C(=O)NO)S(C)(=O)=O,aliphatic,0.3605052953634184,CCC,aromatic,-0.299391827980208,CCCC(C)C[NH-5][C-1](=O)NC[CH]C[C@](C)(C(=O)NO)S(C)(=O)=O,aliphatic,-0.299391827980208,C,aliphatic,-0.299391827980208,,,,,,,,,,CCC,aromatic,0.2427622708551664,C,aliphatic,0.2427622708551664,C,aliphatic,0.2427622708551664,C[C@@](C[CH]CN[C-1](=O)[NH-5]C)(C(=O)NO)S(C)(=O)=O,aliphatic,0.2427622708551664,C,aliphatic,0.3807969352094363,C-C-C(C(C)C)-C,aromatic,0.3807969352094363,C,aliphatic,0.3807969352094363,C[C@@](C[CH]CN[C-1](=O)[NH-5]C)(C(=O)NO)S(C)(=O)=O,aliphatic,0.3807969352094363,CCC,aromatic,0.2652357261656056,C,aliphatic,0.2652357261656056,C[C@@](C[CH]CN[C-1](=O)[NH-5]C)(C(=O)NO)S(C)(=O)=O,aliphatic,0.2652357261656056,C,aliphatic,0.2652357261656056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6081081081081081,0.5432098765432098,0.6081081081081081
CMPD_251,CN1CCC(=N[NH:5][C:1](=O)CC(N)O)CC1,0.0204549333080649,0,0.0112503705429452,5,"[0.0205135066062212, 0.0371767021715641, 0.02773234061896801, 0.006093153730034828, 0.010758963413536549]",HIGH,HIGH,A,HIGH Agreement + HIGH Reliability,Trust + Use explanation for SAR,HIGH,1.0,1.0,100.0,-0.7615924267395651,murcko,,-0.7615924267395651,,,,,,,,,,,,,,,,,C1CCNCC1,,,,,,,,,,,,,,,,,C,aliphatic,-0.3807962133697825,N[NH-5][C-1](=O)CC(N)O,aliphatic,-0.3807962133697825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5348837209302325,0.288135593220339,0.5348837209302325
