COMPOUND_ID,pathogen_model,source_library,product_linkage_type,clean_smiles,similarity_to_training,similarity_to_actives,similarity_to_inactives,active_inactive_ratio,ensemble_prediction,decision_scenario,reliability_status,MW,LogP,TPSA,HBD,HBA,SA_score
CMPD_385,CA,SA_EC,amide,C[C@H]1NC[C@@H]1NC(=O)c1ccc(F)cc1,0.3720930232558139,0.3695652173913043,0.3720930232558139,0.9672126809388977,0.8595603108406067,A,HIGH,208.236,0.9158,41.13,2,2,2.9326295813827894
CMPD_216,CA,CA,amide,NC(O)CC(=O)N(Cc1ccco1)c1ccc2oc(-c3ccccc3)nc2c1,0.3857142857142857,0.3857142857142857,0.3058823529411765,1.221069433359936,0.7977739095687866,A,HIGH,377.4000000000001,3.2882000000000016,105.73,2,6,2.954361897633304
CMPD_428,CA,SA_CA,amide,CCC(=O)N(C1=C[N+]=CC=C1)c1ccccc1,0.3191489361702128,0.3013698630136986,0.3191489361702128,0.9156033330086512,0.7762492060661316,A,HIGH,226.279,2.2474000000000007,34.410000000000004,0,2,3.5973576336458937
CMPD_352,CA,SA_EC,amide,C[C@H](NC(=O)c1ccc(F)cc1)[C@@H]1CCNC1,0.35,0.35,0.3333333333333333,1.0194174757281553,0.6982165455818177,A,HIGH,236.29,1.5534999999999997,41.13,2,2,2.706889280683166
CMPD_111,CA,EC,amide,N#Cc1ccccc1-c1ccc(CNC(=O)C[C@@H](C[S+][O-])CC(=O)O)cc1,0.38,0.38,0.3272727272727272,1.1266846361185985,0.6704383373260498,A,HIGH,383.44900000000007,2.53548,113.25,2,5,3.225827818182481
CMPD_197,EC,EC,urea,C#Cc1ccc2c(c1)CC[C@@H]2N(C(=O)NC[CH]C[C@](C)(C(=O)NO)S(C)(=O)=O)[C@H](C(=O)NO)[C@@H](C)O,0.3488372093023256,0.3488372093023256,0.2608695652173913,1.2878420247116353,0.9928134560585022,A,HIGH,523.5880000000003,-0.1753099999999972,185.37,6,8,4.81843240392856
CMPD_151,EC,EC,urea,Cc1noc(N(C(=O)NC[CH]C[C@](C)(C(=O)NO)S(C)(=O)=O)S(=O)(=O)c2ccccc2)c1C,0.3571428571428571,0.3571428571428571,0.3157894736842105,1.0962381721670897,0.9826329708099364,A,HIGH,501.5630000000003,1.09943,175.98,3,9,3.859933626806989
CMPD_156,EC,EC,urea,C[C@@](C[CH]CNC(=O)Nc1ncc2cc(-c3c(Cl)cccc3Cl)cnc2n1)(C(=O)NO)S(C)(=O)=O,0.3157894736842105,0.3157894736842105,0.2631578947368421,1.1560693641618496,0.9710289597511292,A,HIGH,540.4090000000002,3.0231900000000005,163.26999999999998,4,8,3.786636845247149
CMPD_141,EC,EC,urea,C[C@@](C[CH]CNC(=O)N[C@H](CC#N)c1cccc(Cl)c1)(C(=O)NO)S(C)(=O)=O,0.3552631578947368,0.3552631578947368,0.2911392405063291,1.1797305369350233,0.963107979297638,A,HIGH,429.9060000000001,1.49707,148.39,4,6,3.9699354358129657
CMPD_199,EC,EC,urea,CC(NCCC(=O)N/N=C/c1c(O)ccc2ccccc12)NC(=O)NC[CH]C[C@](C)(C(=O)NO)S(C)(=O)=O,0.4444444444444444,0.4166666666666667,0.4444444444444444,0.9168704156479218,0.9630678772926332,A,HIGH,549.6300000000003,0.5234900000000021,198.32,7,9,4.120165100640675
CMPD_200,EC,EC,urea,C[C@@](C[CH]CNC(=O)Nc1nc(-c2ccc(NC(=O)c3ccccc3)cc2)c(N=N)s1)(C(=O)NO)S(C)(=O)=O,0.3975903614457831,0.3975903614457831,0.3111111111111111,1.2381706757827153,0.9627087473869324,A,HIGH,572.6490000000001,3.749460000000001,202.8,6,10,3.723315821283696
CMPD_195,EC,EC,urea,CC(C)C(ONC(=O)NC[CH]C[C@](C)(C(=O)NO)S(C)(=O)=O)c1cc(=O)c(O)cn1O,0.34,0.33,0.34,0.9428571428571428,0.9465075254440308,A,HIGH,463.48900000000015,-0.3778099999999977,196.29,6,10,4.709998090479195
CMPD_176,EC,EC,urea,C[C@@](C[CH]CNC(=O)Nc1ccc2cnc(N)nc2n1)(C(=O)NO)S(C)(=O)=O,0.3142857142857143,0.3142857142857143,0.2948717948717949,1.0308782890784571,0.9426098108291626,A,HIGH,410.43600000000015,-0.3684099999999985,189.29,5,9,3.800640170237892
CMPD_165,EC,EC,urea,C[C@@](C[CH]CNC(=O)NC(=N)c1ccccc1)(C(=O)NO)S(C)(=O)=O,0.4385964912280701,0.4385964912280701,0.3333333333333333,1.2774655084312723,0.9360079884529112,A,HIGH,369.4230000000001,0.2142600000000017,148.45000000000002,5,6,3.759765558531132
CMPD_135,EC,EC,urea,C[C@@](C[CH]CNC(=O)NCc1ccc(-c2ccccc2C#N)cc1)(C(=O)NO)S(C)(=O)=O,0.4307692307692308,0.4307692307692308,0.3157894736842105,1.3222318876599977,0.9300018787384032,A,HIGH,457.5320000000002,1.92757,148.39,4,6,3.366414813315295
CMPD_142,EC,EC,urea,CCNc1cc(F)ccc1NC(=O)NC[CH]C[C@](C)(C(=O)NO)S(C)(=O)=O,0.3283582089552239,0.3283582089552239,0.3012048192771084,1.0551192931971964,0.9191813468933104,A,HIGH,403.4560000000001,1.28209,136.63,5,6,3.538463648141996
CMPD_230,EC,CA,amide,NC(O)CC(=O)N(Cc1cc2ccccc2o1)c1ccc2oc(-c3ccccc3)nc2c1,0.4067796610169492,0.4067796610169492,0.3098591549295774,1.2717461881199206,0.8976637363433838,A,HIGH,427.46000000000015,4.4414000000000025,105.73,2,6,3.034930818278076
