COMPOUND_ID,pathogen_model,priority_tier,source_library,product_linkage_type,clean_smiles,similarity_to_training,ensemble_prediction,decision_scenario,reliability_status,MW,LogP,TPSA,SA_score
CMPD_385,CA,1,SA_EC,amide,C[C@H]1NC[C@@H]1NC(=O)c1ccc(F)cc1,0.3720930232558139,0.8595603108406067,A,HIGH,208.236,0.9158,41.13,2.9326295813827894
CMPD_216,CA,1,CA,amide,NC(O)CC(=O)N(Cc1ccco1)c1ccc2oc(-c3ccccc3)nc2c1,0.3857142857142857,0.7977739095687866,A,HIGH,377.4000000000001,3.2882000000000016,105.73,2.954361897633304
CMPD_428,CA,1,SA_CA,amide,CCC(=O)N(C1=C[N+]=CC=C1)c1ccccc1,0.3191489361702128,0.7762492060661316,A,HIGH,226.279,2.2474000000000007,34.410000000000004,3.5973576336458937
CMPD_352,CA,1,SA_EC,amide,C[C@H](NC(=O)c1ccc(F)cc1)[C@@H]1CCNC1,0.35,0.6982165455818177,A,HIGH,236.29,1.5534999999999997,41.13,2.706889280683166
CMPD_111,CA,1,EC,amide,N#Cc1ccccc1-c1ccc(CNC(=O)C[C@@H](C[S+][O-])CC(=O)O)cc1,0.38,0.6704383373260498,A,HIGH,383.44900000000007,2.53548,113.25,3.225827818182481
CMPD_482,CA,2,SA_CA,amide,CCC(=O)N(CCCNCCCCCCCCCCNCCCNCCCc1ccccc1)CCCc1ccccc1,0.5681818181818182,0.8296391487121582,A,HIGH,578.9300000000004,7.160400000000007,56.400000000000006,2.5080510358001185
CMPD_190,CA,3,EC,urea,C[C@@](C[CH]CNC(=O)NOCc1cc(=O)c(O)cn1O)(C(=O)NO)S(C)(=O)=O,0.2261904761904762,0.8882350444793701,A,HIGH,421.4080000000001,-1.574909999999998,196.29,4.279233068804475
CMPD_066,CA,3,SA,urea,CCNC(=O)NC(N)NC(=O)N(C[CH]CNC(C)=O)c1ccc(-c2ccc(C=N)c(O)c2)c(F)c1,0.2666666666666666,0.758822500705719,A,HIGH,486.5280000000001,1.6137600000000016,172.67,3.916663768324071
CMPD_197,EC,1,EC,urea,C#Cc1ccc2c(c1)CC[C@@H]2N(C(=O)NC[CH]C[C@](C)(C(=O)NO)S(C)(=O)=O)[C@H](C(=O)NO)[C@@H](C)O,0.3488372093023256,0.9928134560585022,A,HIGH,523.5880000000003,-0.1753099999999972,185.37,4.81843240392856
CMPD_151,EC,1,EC,urea,Cc1noc(N(C(=O)NC[CH]C[C@](C)(C(=O)NO)S(C)(=O)=O)S(=O)(=O)c2ccccc2)c1C,0.3571428571428571,0.9826329708099364,A,HIGH,501.5630000000003,1.09943,175.98,3.859933626806989
CMPD_156,EC,1,EC,urea,C[C@@](C[CH]CNC(=O)Nc1ncc2cc(-c3c(Cl)cccc3Cl)cnc2n1)(C(=O)NO)S(C)(=O)=O,0.3157894736842105,0.9710289597511292,A,HIGH,540.4090000000002,3.0231900000000005,163.26999999999998,3.786636845247149
CMPD_141,EC,1,EC,urea,C[C@@](C[CH]CNC(=O)N[C@H](CC#N)c1cccc(Cl)c1)(C(=O)NO)S(C)(=O)=O,0.3552631578947368,0.963107979297638,A,HIGH,429.9060000000001,1.49707,148.39,3.9699354358129657
CMPD_199,EC,1,EC,urea,CC(NCCC(=O)N/N=C/c1c(O)ccc2ccccc12)NC(=O)NC[CH]C[C@](C)(C(=O)NO)S(C)(=O)=O,0.4444444444444444,0.9630678772926332,A,HIGH,549.6300000000003,0.5234900000000021,198.32,4.120165100640675
CMPD_200,EC,1,EC,urea,C[C@@](C[CH]CNC(=O)Nc1nc(-c2ccc(NC(=O)c3ccccc3)cc2)c(N=N)s1)(C(=O)NO)S(C)(=O)=O,0.3975903614457831,0.9627087473869324,A,HIGH,572.6490000000001,3.749460000000001,202.8,3.723315821283696
CMPD_195,EC,1,EC,urea,CC(C)C(ONC(=O)NC[CH]C[C@](C)(C(=O)NO)S(C)(=O)=O)c1cc(=O)c(O)cn1O,0.34,0.9465075254440308,A,HIGH,463.48900000000015,-0.3778099999999977,196.29,4.709998090479195
CMPD_176,EC,1,EC,urea,C[C@@](C[CH]CNC(=O)Nc1ccc2cnc(N)nc2n1)(C(=O)NO)S(C)(=O)=O,0.3142857142857143,0.9426098108291626,A,HIGH,410.43600000000015,-0.3684099999999985,189.29,3.800640170237892
